rankbreeze_Id,rental_id,orig_price_per_night,cleaning_fee,service_fee,total_price,price_per_night,check_in_date,check_out_date
51045,862225236403589050,562.0,399.0,0,2407.0,502.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,599.0,506.0,4091.0,747.0,2024-06-11,2024-06-15
51045,862225236403589050,178.0,329.0,127.0,1028.0,143.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,395.0,188.0,1518.0,234.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,240.0,147.0,1187.0,200.0,2024-06-11,2024-06-15
51045,862225236403589050,255.0,230.0,140.0,1130.0,190.0,2024-06-11,2024-06-15
51045,862225236403589050,296.0,299.0,179.0,1448.0,243.0,2024-06-11,2024-06-15
51045,862225236403589050,264.0,290.0,176.0,1422.0,239.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,350.0,235.0,1900.0,329.0,2024-06-11,2024-06-15
51045,862225236403589050,277.0,299.0,171.0,1381.0,228.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,255.0,160.0,1295.0,220.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,250.0,207.0,1672.0,304.0,2024-06-11,2024-06-15
51045,862225236403589050,268.0,299.0,170.0,1376.0,227.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,369.0,205.0,1658.0,271.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,295.0,278.0,2247.0,419.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,599.0,506.0,4091.0,747.0,2024-06-11,2024-06-15
51045,862225236403589050,650.0,755.0,360.0,2909.0,449.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,275.0,178.0,1440.0,247.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,315.0,219.0,1773.0,310.0,2024-06-11,2024-06-15
51045,862225236403589050,259.0,300.0,167.0,1347.0,220.0,2024-06-11,2024-06-15
51045,862225236403589050,322.0,299.0,193.0,1563.0,268.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,255.0,160.0,1295.0,220.0,2024-06-11,2024-06-15
51045,862225236403589050,305.0,339.0,196.0,1583.0,262.0,2024-06-11,2024-06-15
51045,862225236403589050,412.0,374.0,251.0,2031.0,352.0,2024-06-11,2024-06-15
51045,862225236403589050,354.0,330.0,203.0,1644.0,278.0,2024-06-11,2024-06-15
51045,862225236403589050,452.0,220.0,159.0,1288.0,227.0,2024-06-11,2024-06-15
51045,862225236403589050,381.0,419.0,246.0,1992.0,332.0,2024-06-11,2024-06-15
51045,862225236403589050,289.0,385.0,201.0,1626.0,260.0,2024-06-11,2024-06-15
51045,862225236403589050,256.0,300.0,167.0,1352.0,221.0,2024-06-11,2024-06-15
51045,862225236403589050,224.0,250.0,144.0,1165.0,193.0,2024-06-11,2024-06-15
51045,862225236403589050,340.0,275.0,174.0,1409.0,240.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,285.0,198.0,1604.0,280.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,235.0,233.0,1884.0,354.0,2024-06-11,2024-06-15
51045,862225236403589050,277.0,299.0,171.0,1381.0,228.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,590.0,362.0,2927.0,494.0,2024-06-11,2024-06-15
51045,862225236403589050,289.0,385.0,201.0,1626.0,260.0,2024-06-11,2024-06-15
51045,862225236403589050,400.0,385.0,239.0,1934.0,328.0,2024-06-11,2024-06-15
51045,862225236403589050,412.0,374.0,251.0,2031.0,352.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,200.0,148.0,1198.0,213.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,450.0,211.0,1706.0,261.0,2024-06-11,2024-06-15
51045,862225236403589050,250.0,239.0,161.0,1301.0,225.0,2024-06-11,2024-06-15
51045,862225236403589050,404.0,95.0,206.0,1668.0,342.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,599.0,506.0,4091.0,747.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,725.0,780.0,6305.0,1200.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,289.0,137.0,1104.0,170.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,329.0,165.0,1332.0,210.0,2024-06-11,2024-06-15
51045,862225236403589050,268.0,300.0,171.0,1381.0,228.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,325.0,171.0,1379.0,221.0,2024-06-11,2024-06-15
51045,862225236403589050,268.0,299.0,170.0,1376.0,227.0,2024-06-11,2024-06-15
51045,862225236403589050,383.0,350.0,238.0,1925.0,334.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,250.0,135.0,1092.0,177.0,2024-06-11,2024-06-15
51045,862225236403589050,340.0,300.0,212.0,1715.0,301.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,299.0,173.0,1397.0,231.0,2024-06-11,2024-06-15
51045,862225236403589050,362.0,374.0,210.0,1696.0,278.0,2024-06-11,2024-06-15
51045,862225236403589050,375.0,370.0,191.0,1541.0,245.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,289.0,137.0,1104.0,170.0,2024-06-11,2024-06-15
51045,862225236403589050,452.0,220.0,159.0,1288.0,227.0,2024-06-11,2024-06-15
